"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2018","0.000173","0.000172","0.000174","0.000170","643.84K","0.00%"
"Jun 20, 2018","0.000172","0.000175","0.000175","0.000169","1.63M","-1.26%"
"Jun 19, 2018","0.000175","0.000176","0.000184","0.000173","4.41M","-0.58%"
"Jun 18, 2018","0.000176","0.000181","0.000182","0.000169","4.27M","-2.55%"
"Jun 17, 2018","0.000180","0.000184","0.000186","0.000179","2.70M","-1.96%"
"Jun 16, 2018","0.000184","0.000185","0.000189","0.000182","1.34M","-0.54%"
"Jun 15, 2018","0.000185","0.000192","0.000197","0.000182","1.76M","-3.67%"
"Jun 14, 2018","0.000192","0.000191","0.000202","0.000186","3.16M","0.66%"
"Jun 13, 2018","0.000191","0.000192","0.000196","0.000181","4.07M","-0.52%"
"Jun 12, 2018","0.000192","0.000211","0.000211","0.000188","2.60M","-9.12%"
"Jun 11, 2018","0.000211","0.000204","0.000213","0.000198","1.45M","3.49%"
"Jun 10, 2018","0.000204","0.000220","0.000220","0.000195","6.44M","-7.21%"
"Jun 09, 2018","0.000220","0.000224","0.000228","0.000218","1.09M","-2.02%"
"Jun 08, 2018","0.000224","0.000220","0.000226","0.000218","454.15K","2.03%"
"Jun 07, 2018","0.000220","0.000222","0.000227","0.000219","919.30K","-0.97%"
"Jun 06, 2018","0.000222","0.000229","0.000231","0.000218","1.46M","-3.36%"
"Jun 05, 2018","0.000229","0.000230","0.000234","0.000225","1.06M","0.00%"
"Jun 04, 2018","0.000230","0.000235","0.000239","0.000224","1.60M","-2.09%"
"Jun 03, 2018","0.000235","0.000248","0.000260","0.000230","3.97M","-5.42%"
"Jun 02, 2018","0.000248","0.000255","0.000259","0.000244","1.65M","-2.95%"
"Jun 01, 2018","0.000255","0.000235","0.000259","0.000229","3.86M","8.63%"
"May 31, 2018","0.000235","0.000213","0.000239","0.000212","3.80M","10.63%"
"May 30, 2018","0.000213","0.000213","0.000220","0.000207","1.91M","0.00%"
"May 29, 2018","0.000213","0.000190","0.000223","0.000188","4.83M","12.38%"
"May 28, 2018","0.000190","0.000198","0.000199","0.000189","1.05M","-4.32%"
"May 27, 2018","0.000198","0.000201","0.000202","0.000194","1.14M","-1.30%"
"May 26, 2018","0.000201","0.000200","0.000205","0.000197","707.16K","0.59%"
"May 25, 2018","0.000200","0.000203","0.000207","0.000195","1.13M","-1.56%"
"May 24, 2018","0.000203","0.000195","0.000204","0.000190","3.15M","3.80%"
"May 23, 2018","0.000195","0.000204","0.000206","0.000184","3.03M","-4.33%"
"May 22, 2018","0.000204","0.000205","0.000213","0.000202","1.19M","-0.59%"
"May 21, 2018","0.000205","0.000214","0.000217","0.000204","1.19M","-3.92%"
"May 20, 2018","0.000214","0.000212","0.000217","0.000211","476.50K","0.63%"
"May 19, 2018","0.000212","0.000213","0.000218","0.000209","845.68K","-0.24%"
"May 18, 2018","0.000213","0.000212","0.000218","0.000207","1.43M","0.42%"
"May 17, 2018","0.000212","0.000227","0.000235","0.000209","2.20M","-6.93%"
"May 16, 2018","0.000228","0.000235","0.000235","0.000220","2.12M","-3.25%"
"May 15, 2018","0.000235","0.000222","0.000239","0.000220","2.89M","5.98%"
"May 14, 2018","0.000222","0.000229","0.000231","0.000217","1.99M","-3.09%"
"May 13, 2018","0.000229","0.000223","0.000232","0.000217","1.30M","2.99%"
"May 12, 2018","0.000223","0.000218","0.000228","0.000207","2.02M","1.97%"
"May 11, 2018","0.000218","0.000237","0.000239","0.000207","5.05M","-8.00%"
"May 10, 2018","0.000237","0.000246","0.000248","0.000236","2.09M","-3.68%"
"May 09, 2018","0.000246","0.000265","0.000266","0.000246","1.80M","-7.19%"
"May 08, 2018","0.000265","0.000240","0.000276","0.000239","6.41M","10.54%"
"May 07, 2018","0.000240","0.000238","0.000244","0.000225","2.23M","0.69%"
"May 06, 2018","0.000238","0.000242","0.000254","0.000232","2.32M","-1.65%"
"May 05, 2018","0.000242","0.000253","0.000253","0.000232","2.10M","-4.08%"
"May 04, 2018","0.000253","0.000265","0.000269","0.000242","2.87M","-4.65%"
"May 03, 2018","0.000265","0.000244","0.000283","0.000240","9.49M","9.11%"
"May 02, 2018","0.000243","0.000218","0.000255","0.000215","4.10M","11.24%"
"May 01, 2018","0.000218","0.000212","0.000219","0.000202","1.44M","3.18%"
"Apr 30, 2018","0.000212","0.000217","0.000217","0.000209","1.61M","-2.44%"
"Apr 29, 2018","0.000217","0.000217","0.000223","0.000209","2.33M","0.00%"
"Apr 28, 2018","0.000217","0.000212","0.000224","0.000211","2.68M","2.27%"
"Apr 27, 2018","0.000212","0.000220","0.000224","0.000209","2.17M","-3.69%"
"Apr 26, 2018","0.000220","0.000202","0.000223","0.000197","1.91M","8.64%"
"Apr 25, 2018","0.000202","0.000221","0.000221","0.000192","7.07M","-8.31%"
"Apr 24, 2018","0.000221","0.000238","0.000242","0.000220","3.73M","-7.23%"
"Apr 23, 2018","0.000238","0.000228","0.000238","0.000226","3.19M","4.48%"
